Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg09988805;;7,15092;0,1456695;2;4,33E+07;;;;0,049122;;;
cg09989996;;-3,02385;-0,1187585;1;753376;;;;0,0410901;;;
cg09990194;TTLL5;18,9456;0,273097;14;7,63E+07;NM_015072;Body;;0,0394157;;;
cg09990556;ZNF711;4,17598;0,119756;X;8,45E+07;NM_021998;TSS200;Island;0,0485291;;;
cg09990596;PPP2R5C;-1,45465;-0,0264065;14;1,02E+08;"NM_001161725;NM_001161726";"TSS200;TSS200";Island;0,049723;;;
cg09991056;COL4A5;4,16038;0,1190055;X;1,08E+08;"NM_033381;NM_000495;NM_001847;NM_033641;NM_033380";"TSS200;TSS200;TSS1500;TSS1500;TSS200";;0,039978;;;
cg09992300;;2,18291;0,0483085;11;1,16E+08;;;;0,0394157;;;
cg09993857;KDM2A;2,92783;0,094498;11;6,69E+07;"NR_027473;NM_012308";"TSS1500;TSS1500";Island;0,0391234;;;
cg09994356;GDAP1L1;1,26781;0,0257555;20;4,29E+07;NM_024034;TSS200;Island;0,0477746;;;
cg09994435;ZBTB46;6,5174;0,16095;20;6,24E+07;NM_025224;Body;N_Shore;0,0391234;;;
cg09995854;IL1F8;86,9874;0,4487075;2;1,14E+08;"NM_014438;NM_173178";"5'UTR;5'UTR";S_Shore;0,0469862;;;
cg09996284;BGLAP;5,82296;0,182744;1;1,56E+08;NM_199173;TSS200;N_Shelf;0,0460902;;;
cg09996288;TNXB;4,91226;0,1321075;6;3,21E+07;NM_019105;Body;Island;0,0403319;;;
cg09996777;PXDN;1,77237;0,0435005;2;1,68E+06;NM_012293;Body;;0,048749;;;
cg09996840;SLC25A10;1,60935;0,0247555;17;7,97E+07;NM_012140;Body;N_Shore;0,0495465;;;
cg09997271;PDE4A;6,59783;0,1998085;19;1,05E+07;"NM_001111308;NM_001111307;NM_001111309";"Body;Body;TSS1500";N_Shore;0,0455673;;;
cg09999353;;-7,20576;-0,1952665;13;5,58E+07;;;;0,0422511;;;
cg10001378;;3,18057;0,04181515;17;5,47E+07;;;Island;0,0459422;;;
cg10002066;RASA3;2,36968;0,0463635;13;1,15E+08;NM_007368;Body;N_Shore;0,0403813;;;
cg10002131;BIRC8;-1,6992;-0,0487415;19;5,38E+07;"NM_033341;NM_033341";"5'UTR;1stExon";Island;0,0450301;;;
cg10003284;;5,32525;0,164369;15;9,96E+07;;;S_Shore;0,0403813;;;
cg10003443;FOXA2;-1,52013;-0,038708;20;2,26E+07;NM_153675;TSS1500;N_Shore;0,0382745;;;
cg10004780;ARHGEF4;-6,31823;-0,156157;2;1,32E+08;"NM_032995;NM_015320";"Body;Body";S_Shore;0,0427336;;;
cg10006419;SPEM1;2,11905;0,080533;17;7,32E+06;NM_199339;TSS200;S_Shelf;0,0382745;;;
cg10006515;PDCD2L;5,85096;0,189122;19;3,49E+07;NM_032346;Body;S_Shore;0,044292;;;
cg10007075;;2,6859;0,048272;15;1,01E+08;;;Island;0,0475238;;;
cg10007222;GSTTP2;14,0483;0,2331885;22;2,44E+07;NR_003082;TSS1500;;0,0407468;;;
cg10007692;TECR;1,57493;0,0175149;19;1,46E+07;NM_138501;Body;Island;0,0479936;;;
cg10009497;C7orf50;-1,31814;-0,010444;7;1,10E+06;"NM_001134395;NM_032350;NM_001134396";"Body;Body;Body";N_Shore;0,0498379;;;
cg10010257;RAB6C;-1,35435;-0,0270175;2;1,31E+08;NM_032144;TSS200;Island;0,0399899;;;
cg10011744;C17orf99;2,66315;0,0868825;17;7,61E+07;NM_001163075;Body;;0,048805;;;
cg10011963;RAB11FIP3;4,32011;0,099619;16;567178;"NM_014700;NM_001142272";"Body;Body";S_Shore;0,0433619;;;
cg10012530;HS6ST1;3,5186;0,082989;2;1,29E+08;NM_004807;Body;N_Shore;0,0427286;;;
cg10012623;;1,98459;0,0342035;14;6,54E+07;;;S_Shelf;0,0493684;;;
cg10012920;;4,25518;0,155883;11;1,23E+08;;;;0,0408631;;;
cg10014293;MT1H;-4,71851;-0,1668585;16;5,67E+07;NM_005951;Body;S_Shore;0,0400885;;;
cg10015668;;-11,165;-0,2239505;2;1,84E+08;;;S_Shelf;0,0453789;;;
cg10015830;;5,09373;0,1747005;2;2,29E+08;;;;0,046309;;;
cg10016256;;-4,64368;-0,1569395;14;9,61E+07;;;;0,0387642;;;
cg10016380;EDNRB;15,6304;0,2722335;13;7,85E+07;"NM_003991;NM_000115;NM_001122659";"TSS1500;5'UTR;TSS1500";Island;0,0382745;;;
cg10016608;GAS2L2;1,88262;0,061073;17;3,41E+07;NM_139285;1stExon;;0,0475222;;;
cg10017619;ADPRHL2;9,2972;0,144571;1;3,66E+07;NM_017825;Body;S_Shelf;0,0463775;;;
cg10019132;;-3,1345;-0,1156445;6;2,86E+07;;;N_Shelf;0,0424192;;;
cg10020883;PLIN4;7,51743;0,180826;19;4,52E+06;NM_001080400;TSS200;;0,0449385;;;
cg10020892;BCL9;4,84825;0,1424135;1;1,47E+08;NM_004326;5'UTR;;0,0467632;;;
cg10021428;;-3,3256;-0,1288065;4;5,36E+07;;;N_Shore;0,0398619;;;
cg10021819;PLCG2;-9,89217;-0,1450615;16;8,19E+07;NM_002661;Body;;0,04824;;;
cg10021878;CR1;-2,73903;-0,107221;1;2,08E+08;"NM_000651;NM_000573";"Body;Body";Island;0,0445872;;;
cg10022048;;1,75055;0,0402375;14;5,16E+07;;;;0,0492911;;;
cg10022526;BDNF;19,3327;0,283935;11;2,77E+07;NM_170731;TSS1500;Island;0,0463602;;;
cg10023178;;-2,51262;-0,070839;13;1,12E+08;;;Island;0,0477257;;;
cg10023530;FAM38B;1,52629;0,0450995;18;1,11E+07;NM_022068;TSS200;Island;0,0399885;;;
cg10023837;AGPAT1;96,5228;0,1759513;6;3,21E+07;"NM_032741;NM_006913;NR_003129";"TSS1500;Body;Body";;0,046965;;;
cg10024478;ABCC6;-5,63365;-0,1355815;16;1,62E+07;NM_001171;3'UTR;;0,0392697;;;
cg10024583;TBKBP1;15,6656;0,1740575;17;4,58E+07;"NM_014726;NM_014726";"1stExon;5'UTR";Island;0,0479444;;;
cg10024730;;6,62085;0,184487;12;1,23E+08;;;;0,040352;;;
cg10025904;LRRC8B;-3,63202;-0,1376515;1;9,00E+07;NM_001134476;5'UTR;;0,0403813;;;
cg10026203;CA7;9,23557;0,235563;16;6,69E+07;"NM_001014435;NM_005182";"TSS200;Body";Island;0,0385108;;;
cg10026317;TAL1;-1,96579;-0,063912;1;4,77E+07;"NM_003189;NM_003189";"5'UTR;1stExon";N_Shore;0,0398626;;;
cg10028038;SNORD84;2,1923;0,0469725;6;3,15E+07;"NR_003065;NM_080598;NM_004640";"TSS1500;TSS200;TSS200";S_Shore;0,0460297;;;
cg10029186;;10,326;0,229614;4;1,74E+08;;;Island;0,042535;;;
cg10029842;LHX8;-2,17194;-0,0832775;1;7,56E+07;NM_001001933;5'UTR;Island;0,0419911;;;
cg10030636;NAT8L;7,60311;0,152512;4;2,06E+06;NM_178557;TSS1500;Island;0,0408631;;;
cg10030810;;2,95762;0,1160775;22;1,62E+07;;;N_Shore;0,0437835;;;
cg10030837;YEATS4;4,18895;0,081826;12;6,98E+07;NM_006530;Body;S_Shore;0,044903;;;
cg10036013;FOXK1;3,99383;0,148969;7;4,78E+06;NM_001037165;Body;;0,0489862;;;
cg10036920;;1,60454;0,0184005;12;1,33E+08;;;Island;0,0487373;;;
cg10037049;VDR;2,5892;0,0506315;12;4,83E+07;"NM_000376;NM_001017535";"5'UTR;5'UTR";;0,0375028;;;
cg10037521;FGR;5,44552;0,18147;1;2,80E+07;NM_005248;5'UTR;Island;0,0444183;;;
cg10039267;BCOR;4,89732;0,1397505;X;4,00E+07;"NM_001123384;NM_001123383";"5'UTR;5'UTR";Island;0,0466856;;;
cg10039281;NYNRIN;29,1395;0,3469375;14;2,49E+07;NM_025081;Body;;0,0408894;;;
cg10039590;ERI1;6,16462;0,130184;8;8,86E+06;NM_153332;TSS1500;N_Shore;0,0382745;;;
cg10040142;MIP;12,7505;0,24833;12;5,68E+07;NM_012064;TSS1500;;0,0444907;;;
cg10040866;TMEM202;1,4589;0,0238635;15;7,27E+07;NM_001080462;TSS200;;0,0457583;;;
cg10042106;OTX2;25,7999;0,2342195;14;5,73E+07;NM_021728;5'UTR;Island;0,0382745;;;
cg10042554;;4,15281;0,119973;15;4,08E+07;;;S_Shore;0,0452201;;;
cg10043047;PPAPDC1A;3,02769;0,0943025;10;1,22E+08;NM_001030059;Body;Island;0,0390719;;;
cg10043253;SLC13A5;5,96528;0,140647;17;6,62E+06;"NM_177550;NM_001143838";"Body;Body";Island;0,0437642;;;
cg10043313;;-1,81246;-0,0641635;16;3,22E+07;;;N_Shore;0,0482325;;;
cg10043829;;-2,36961;-0,074884;2;4,91E+07;;;;0,0390247;;;
cg10043865;LHX1;20,9053;0,294103;17;3,53E+07;NM_005568;TSS200;Island;0,046989;;;
cg10045137;POMC;2,88061;0,110617;2;2,54E+07;"NM_000939;NM_001035256";"3'UTR;3'UTR";Island;0,045737;;;
cg10046101;COBL;1,98989;0,0282665;7;5,11E+07;NM_015198;Body;;0,0431184;;;
cg10046388;;3,41132;0,131402;7;1,29E+08;;;Island;0,0477379;;;
cg10046767;KRT8;3,21624;0,12608;12;5,33E+07;NM_002273;Body;Island;0,0454285;;;
cg10049708;JAKMIP1;-2,70965;-0,103152;4;6,20E+06;"NM_001099433;NM_144720";"5'UTR;5'UTR";Island;0,043774;;;
cg10049789;SH3TC1;7,29522;0,2003265;4;8,20E+06;NM_018986;5'UTR;;0,0410914;;;
cg10051214;FUCA1;2,52412;0,0599355;1;2,42E+07;NM_000147;TSS200;S_Shore;0,0399885;;;
cg10051493;;47,8242;0,354527;16;1,94E+06;;;;0,0494922;;;
cg10052597;GALNT9;-5,93138;-0,151248;12;1,33E+08;NM_001122636;Body;N_Shore;0,0406387;;;
cg10052782;;-9,19968;-0,1400605;16;2,71E+07;;;;0,0385708;;;
cg10053507;KIAA1026;3,27659;0,103186;1;1,53E+07;"NM_001017999;NM_201628;NM_001018001;NM_015209;NM_001018000";"Body;Body;Body;Body;Body";;0,0467219;;;
cg10054262;UNC84A;-1,93841;-0,0282276;7;856283;"NM_001130965;NM_001130965;NM_025154;NM_025154";"1stExon;5'UTR;1stExon;5'UTR";Island;0,0387662;;;
cg10055097;MAGIX;6,21856;0,1294065;X;4,90E+07;"NM_001099681;NM_001099680;NM_001099682;NM_024859";"Body;TSS200;Body;Body";Island;0,0397962;;;
cg10055621;;-2,84088;-0,1094135;7;6,43E+07;;;;0,0453121;;;
cg10056096;SNORA23;-2,51235;-0,0534045;11;9,45E+06;"NR_002962;NM_006391";"Body;Body";;0,0466907;;;
cg10056132;C10orf53;-10,3792;-0,148672;10;5,09E+07;"NM_182554;NM_001042427;NM_182554;NM_001042427";"5'UTR;5'UTR;1stExon;1stExon";Island;0,0375028;;;
cg10057436;CCDC42;7,40397;0,1830075;17;8,65E+06;"NM_001158261;NM_001158261;NM_144681;NM_144681";"1stExon;5'UTR;1stExon;5'UTR";N_Shore;0,0428032;;;
cg10057601;PDCD1;4,95521;0,1475755;2;2,43E+08;NM_005018;3'UTR;N_Shore;0,049777;;;
cg10058779;SLC22A17;2,67993;0,098741;14;2,38E+07;"NM_016609;NM_020372;NM_020372";"5'UTR;1stExon;5'UTR";Island;0,0494143;;;
cg10059536;MIR203;-8,8684;-0,216594;14;1,05E+08;NR_029620;TSS1500;Island;0,0382745;;;
cg10059660;KCTD8;1,63886;0,0533935;4;4,45E+07;NM_198353;1stExon;Island;0,0459881;;;
cg10059959;PAX5;4,96921;0,1653135;9;3,70E+07;NM_016734;TSS1500;Island;0,0422425;;;
cg10060499;;-4,47083;-0,155026;X;3,94E+07;;;;0,043799;;;
cg10060918;OR2J3;12,8593;0,2657265;6;2,91E+07;NM_001005216;1stExon;;0,0445171;;;
cg10061384;;7,07182;0,205454;1;2,47E+06;;;N_Shore;0,0450023;;;
cg10061805;;2,77714;0,110292;10;1,12E+08;;;;0,048334;;;
cg10062258;LEPROT;10,6162;0,08912985;1;6,59E+07;"NM_017526;NM_001003680;NM_002303;NM_001003679";"TSS1500;TSS1500;TSS1500;TSS1500";N_Shore;0,0407266;;;
cg10063800;KBTBD11;-14,7861;-0,236999;8;1,92E+06;NM_014867;TSS1500;N_Shore;0,0382745;;;
cg10063805;;11,35;0,222704;16;5,20E+07;;;;0,0398626;;;
cg10064814;CXorf40B;-3,82118;-0,1172535;X;1,49E+08;NM_001013845;Body;;0,0423647;;;
cg10066534;TCF21;3,59075;0,0889215;6;1,34E+08;"NM_003206;NM_198392";"TSS200;TSS200";N_Shore;0,0402222;;;
cg10068740;WHSC1L1;7,96691;0,1371805;8;3,82E+07;"NM_023034;NM_017778";"Body;Body";;0,0419861;;;
cg10068877;;-3,13148;-0,083767;16;3,36E+07;;;N_Shore;0,0382745;;;
cg10069493;ALOX5;2,35451;0,0909125;10;4,59E+07;NM_000698;Body;Island;0,0412672;;;
cg10069736;FGF14;-1,79095;-0,0518215;13;1,03E+08;NM_175929;Body;;0,0453537;;;
cg10070668;;15,3629;0,220366;X;1,87E+07;;;Island;0,040392;;;
cg10071431;LMF1;2,10011;0,0793345;16;949659;NM_022773;Body;Island;0,0476095;;;
cg10074544;COL25A1;12,1147;0,259643;4;1,10E+08;"NM_198721;NM_198721;NM_032518;NM_032518";"1stExon;5'UTR;5'UTR;1stExon";Island;0,0382745;;;
cg10075906;EPHB4;2,13811;0,026838;7;1,00E+08;NM_004444;Body;N_Shelf;0,0426259;;;
cg10076006;DEFB1;10,8664;0,1658115;8;6,74E+06;NM_005218;TSS200;;0,0434742;;;
cg10076951;DBNDD1;3,03492;0,081807;16;9,01E+07;"NM_001042610;NM_024043";"Body;Body";S_Shore;0,0422736;;;
cg10077410;ADAMTS7;17,2873;0,236365;15;7,91E+07;NM_014272;Body;S_Shelf;0,0392697;;;
cg10077672;;29,058;0,294146;22;4,21E+07;;;S_Shore;0,0444907;;;
cg10081304;COL23A1;7,2385;0,162062;5;1,78E+08;NM_173465;Body;Island;0,0412408;;;
cg10081626;;1,39025;0,035489;10;1,03E+08;;;N_Shore;0,0407016;;;
cg10083572;;-6,28738;-0,1845445;7;2,72E+07;;;Island;0,0382745;;;
cg10084513;SEMA5B;11,5149;0,2240005;3;1,23E+08;NM_001031702;5'UTR;Island;0,0406387;;;
cg10087172;ARHGDIB;23,8456;0,223326;12;1,51E+07;"NM_001175;NM_001175";"5'UTR;1stExon";;0,040392;;;
cg10087598;PSMB8;1,94013;0,02777455;6;3,28E+07;"NM_004159;NM_148919;NM_004159";"5'UTR;TSS1500;1stExon";S_Shore;0,0408874;;;
cg10088372;PHF6;5,0632;0,112262;X;1,34E+08;"NM_001015877;NM_032335;NM_032458;NM_001015877;NM_032458;NM_032335";"1stExon;5'UTR;1stExon;5'UTR;5'UTR;1stExon";Island;0,0397357;;;
cg10089865;GATA3;-3,93788;-0,1131735;10;8,10E+06;"NM_001002295;NM_002051";"Body;Body";N_Shore;0,043799;;;
cg10090212;;8,4305;0,165574;7;1,51E+08;;;S_Shelf;0,0404324;;;
cg10090217;TBRG4;-10,2909;-0,2299555;7;4,52E+07;"NM_199122;NM_004749;NM_030900";"TSS1500;TSS1500;TSS1500";S_Shore;0,0408874;;;
cg10090844;;5,65902;0,175303;12;1,32E+08;;;N_Shelf;0,0497004;;;
cg10090985;DLC1;3,89753;0,06699745;8;1,31E+07;NM_182643;Body;Island;0,0467469;;;
cg10092257;;12,347;0,220293;18;1,95E+07;;;Island;0,0436351;;;
cg10092517;;-3,71847;-0,141301;14;1,05E+08;;;;0,0468961;;;
cg10092709;;8,76133;0,1458215;16;3,16E+06;;;N_Shore;0,0459483;;;
cg10093265;;-2,14975;-0,067759;13;2,56E+07;;;S_Shore;0,0420096;;;
cg10094238;ARHGAP27;4,91185;0,161253;17;4,35E+07;"NM_001159330;NM_001159330;NM_199282";"1stExon;5'UTR;5'UTR";Island;0,0477473;;;
cg10094355;RALGDS;5,80837;0,1311265;9;1,36E+08;NM_001042368;Body;Island;0,0406727;;;
cg10094886;PLEKHA6;-2,80471;-0,110219;1;2,04E+08;NM_014935;5'UTR;;0,0472109;;;
cg10095057;MYST2;1,44989;0,029996;17;4,79E+07;NM_007067;Body;S_Shelf;0,0388517;;;
cg10095084;;4,06986;0,1355975;14;1,05E+08;;;N_Shore;0,0382745;;;
cg10095539;SPOPL;-2,11118;-0,0478525;2;1,39E+08;NM_001001664;TSS1500;N_Shore;0,0497641;;;
cg10096161;;11,2;0,2067825;11;1,23E+08;;;Island;0,0460849;;;
cg10097464;ANKDD1A;-1,93118;-0,061461;15;6,52E+07;NM_182703;Body;Island;0,0498992;;;
cg10098570;OTUD5;7,67819;0,163562;X;4,88E+07;"NM_001136159;NM_001136158;NM_017602;NM_001136157";"Body;Body;Body;Body";;0,0405976;;;
cg10099638;COL6A2;14,8628;0,277376;21;4,75E+07;"NM_058174;NM_001849;NM_058175";"TSS1500;TSS1500;TSS1500";N_Shore;0,0412408;;;
cg10099808;;6,87905;0,2055075;7;1,40E+08;;;S_Shore;0,0473205;;;
cg10101263;SNX19;7,61182;0,1582585;11;1,31E+08;NM_014758;TSS1500;Island;0,0461316;;;
cg10101680;BTBD7;2,18421;0,042372;14;9,38E+07;"NM_018167;NM_001002860";"5'UTR;5'UTR";;0,0487552;;;
cg10101773;JDP2;5,83123;0,069262;14;7,59E+07;"NM_001135047;NM_001135048;NM_130469";"TSS1500;TSS1500;TSS1500";N_Shore;0,0448901;;;
cg10101862;MAML2;5,74429;0,1340595;11;9,59E+07;NM_032427;Body;;0,0347648;;;
cg10102418;CCDC77;-1,3098;-0,0114315;12;510594;"NM_001130146;NM_001130147;NM_032358;NM_001130148";"TSS200;5'UTR;TSS200;5'UTR";Island;0,0404029;;;
cg10102762;MOS;2,81989;0,1037045;8;5,70E+07;NM_005372;1stExon;Island;0,0465443;;;
cg10103187;LMX1A;-1,44861;-0,037495;1;1,65E+08;"NM_177399;NM_001033507;NM_177398";"TSS1500;TSS1500;Body";;0,0468745;;;
cg10103266;;3,93273;0,146334;2;1,77E+08;;;Island;0,0399885;;;
cg10103373;OTOS;2,08992;0,0635735;2;2,41E+08;NM_148961;TSS200;;0,0444804;;;
cg10103387;;2,29385;0,0788705;X;2,79E+07;;;N_Shore;0,0487789;;;
cg10103623;;1,43815;0,0262805;2;3,49E+06;;;;0,0483138;;;
cg10103635;;5,23881;0,1671345;11;6,73E+07;;;;0,0419999;;;
cg10103942;CUEDC2;1,47055;0,018835;10;1,04E+08;NM_024040;3'UTR;S_Shore;0,0406387;;;
cg10104480;ZFHX3;7,71765;0,1303095;16;7,30E+07;"NM_001164766;NM_006885";"Body;Body";;0,0382745;;;
cg10105268;;4,3569;0,1375535;21;4,56E+07;;;N_Shore;0,0401148;;;
cg10105290;SGCE;-5,24336;-0,140266;7;9,43E+07;"NM_001099401;NM_015068;NM_001040152;NM_015068;NM_001099400;NM_001040152;NM_003919";"TSS1500;5'UTR;1stExon;1stExon;TSS1500;5'UTR;TSS1500";Island;0,0410901;;;
cg10105844;PAK3;3,87009;0,104057;X;1,10E+08;"NM_001128166;NM_002578;NM_001128167";"5'UTR;TSS200;5'UTR";Island;0,0458096;;;
cg10106412;ID4;1,52584;0,0230005;6;1,98E+07;NM_001546;3'UTR;Island;0,0404324;;;
cg10107292;TMEM51;2,80964;0,054179;1;1,55E+07;"NM_001136218;NM_018022;NM_001136216;NM_001136217";"5'UTR;5'UTR;5'UTR;5'UTR";;0,0444804;;;
cg10107466;BRSK2;11,3265;0,2082525;11;1,45E+06;NM_003957;Body;;0,0460066;;;
cg10107783;SORL1;5,5827;0,167517;11;1,21E+08;NM_003105;Body;;0,0490126;;;
cg10108372;;-27,1387;-0,253691;7;1,57E+08;;;Island;0,0465969;;;
cg10109146;;5,38412;0,159245;22;4,27E+07;;;S_Shelf;0,0402222;;;
cg10109215;C20orf160;1,51487;0,044261;20;3,06E+07;NM_080625;Body;Island;0,0457507;;;
cg10110271;CA5A;1,43906;0,0222025;16;8,79E+07;NM_001739;Body;;0,0449053;;;
cg10111115;PDZRN3;2,43751;0,079307;3;7,37E+07;NM_015009;TSS200;Island;0,0382745;;;
cg10111214;;-4,11989;-0,128003;6;1,48E+07;;;;0,0418035;;;
cg10111450;PPP1R9A;2,03439;0,052625;7;9,45E+07;"NM_001166161;NM_001166160;NM_001166163;NM_001166162;NM_017650";"TSS1500;5'UTR;TSS1500;TSS1500;5'UTR";S_Shore;0,0479407;;;
cg10111629;ST7L;17,9993;0,301781;1;1,13E+08;"NM_017744;NM_138728;NM_138727";"3'UTR;3'UTR;3'UTR";;0,042612;;;
cg10112017;;3,33021;0,1186095;4;571489;;;Island;0,0453537;;;
cg10113107;RRM1;4,50454;0,1108475;11;4,12E+06;NM_001033;Body;S_Shelf;0,0467776;;;
cg10113194;;-3,04768;-0,092838;16;5,11E+07;;;S_Shore;0,0382745;;;
cg10113342;;4,95708;0,1214355;7;5,13E+06;;;S_Shelf;0,0398619;;;
cg10113910;;2,636;0,0750285;16;3,46E+07;;;;0,0424703;;;
cg10114625;GPR61;-13,0168;-0,2064845;1;1,10E+08;NM_031936;TSS1500;;0,0434742;;;
cg10115191;TUBA8;4,39681;0,1216265;22;1,86E+07;NM_018943;TSS1500;Island;0,0433619;;;
cg10115368;;-1,8157;-0,0572245;14;1,00E+08;;;N_Shore;0,040352;;;
cg10116209;KNCN;-4,24735;-0,1431055;1;4,70E+07;NM_001097611;TSS1500;;0,0442779;;;
cg10116443;SLC22A9;-1,61141;-0,0331815;11;6,31E+07;NM_080866;Body;;0,0497452;;;
cg10116864;CDK5R2;14,7103;0,2690185;2;2,20E+08;"NM_003936;NM_003936";"3'UTR;1stExon";N_Shore;0,0459246;;;
cg10116893;NTN1;-5,854;-0,1884165;17;9,02E+06;NM_004822;Body;Island;0,0464314;;;
cg10118093;;-2,62358;-0,1039335;1;2,04E+08;;;N_Shore;0,0484681;;;
cg10118167;PLXNC1;-2,13014;-0,0807805;12;9,47E+07;NM_005761;Body;;0,0409467;;;
cg10118456;ABCC1;44,7569;0,3178645;16;1,61E+07;"NM_019862;NM_019898;NM_019899;NM_004996;NM_019900";"Body;Body;Body;Body;Body";;0,0456836;;;
cg10118545;FOXK1;2,59119;0,0906875;7;4,78E+06;NM_001037165;Body;N_Shore;0,0382745;;;
cg10119160;MREG;9,76828;0,240889;2;2,17E+08;NM_018000;Body;;0,0492383;;;
cg10120652;;-2,99651;-0,0658945;8;9,18E+06;;;;0,0455144;;;
cg10121058;;2,58547;0,0581705;16;8,46E+07;;;;0,0451613;;;
cg10121113;LZTS1;2,02375;0,0679705;8;2,01E+07;NM_021020;TSS200;;0,0426001;;;
cg10121508;GAS2L1;2,66963;0,106203;22;2,97E+07;"NM_006478;NM_152236;NM_152237";"TSS1500;TSS1500;TSS1500";N_Shore;0,0394993;;;
cg10122474;GALC;-8,21702;-0,2074825;14;8,85E+07;"NM_001037525;NM_000153";"1stExon;1stExon";Island;0,0450782;;;
cg10122558;ZNF276;8,1546;0,139423;16;8,98E+07;"NM_152287;NM_001113525";"Body;Body";;0,039881;;;
cg10123514;HLA-DMB;3,33643;0,102579;6;3,29E+07;NM_002118;Body;;0,0397962;;;
cg10123654;ADCY9;2,04153;0,0770325;16;4,16E+06;NM_001116;Body;N_Shelf;0,0443598;;;
cg10124355;KDM4B;4,03312;0,1401245;19;5,04E+06;NM_015015;Body;Island;0,0414824;;;
cg10124710;;-2,00025;-0,071064;1;1,47E+08;;;Island;0,0382745;;;
cg10124812;GPR75;9,9851;0,1892475;2;5,41E+07;"NM_006794;NM_001164165";"TSS1500;TSS1500";S_Shore;0,040575;;;
cg10126324;C1orf159;1,48794;0,0397005;1;1,05E+06;NM_017891;TSS1500;S_Shore;0,0382745;;;
cg10128416;TYW3;2,60187;0,0472525;1;7,52E+07;"NM_001162916;NM_001130042;NM_001130043;NR_027962;NM_138467;NM_001134759;NM_001889";"TSS1500;5'UTR;5'UTR;TSS1500;TSS1500;5'UTR;5'UTR";;0,0423119;;;
cg10128806;FRAS1;-4,11739;-0,134689;4;7,90E+07;"NM_025074;NM_001166133";"TSS1500;TSS1500";N_Shore;0,0487724;;;
cg10131194;GDF6;3,10861;0,121455;8;9,72E+07;NM_001001557;Body;Island;0,0471122;;;
cg10131312;FAM19A1;-3,57553;-0,0875865;3;6,81E+07;NM_213609;Body;S_Shore;0,0379277;;;
cg10132287;;3,16022;0,1242695;10;1,32E+08;;;;0,041351;;;
cg10132543;CPT1A;-108,478;-0,361931;11;6,86E+07;"NM_001031847;NM_001876";"TSS200;TSS200";N_Shore;0,0347648;;;
cg10132809;;2,99937;0,0618745;7;7,12E+07;;;;0,0347648;;;
cg10133908;HECTD2;2,81166;0,0961475;10;9,32E+07;"NM_173497;NR_024467;NM_182765";"TSS1500;Body;TSS1500";N_Shore;0,0424135;;;
cg10135197;;3,10977;0,0975345;3;1,27E+08;;;Island;0,0471883;;;
cg10135588;BACH2;-6,11171;-0,1739085;6;9,10E+07;"NM_021813;NM_001170794";"5'UTR;5'UTR";Island;0,0408894;;;
cg10136168;POMT2;2,48784;0,0771825;14;7,78E+07;NM_013382;Body;N_Shelf;0,0445685;;;
cg10136736;ODZ3;-1,48131;-0,017209;4;1,83E+08;NM_001080477;Body;Island;0,0420137;;;
cg10137010;TRPV3;3,33635;0,127755;17;3,46E+06;NM_145068;TSS1500;;0,0437283;;;
cg10137837;BCL6B;2,17771;0,010892;17;6,93E+06;NM_181844;5'UTR;Island;0,0382745;;;
cg10138623;;-2,84949;-0,108887;10;1,14E+08;;;;0,0406727;;;
cg10139370;FUT5;1,49012;0,0391325;19;5,87E+06;NM_002034;Body;Island;0,0477626;;;
cg10139742;GNAO1;4,28886;0,149129;16;5,64E+07;"NM_020988;NM_138736";"Body;Body";;0,0382745;;;
cg10139889;ZNF815;14,5401;0,275709;7;5,86E+06;NR_023382;Body;S_Shore;0,0408631;;;
cg10140309;ADNP;13,9666;0,1215;20;4,95E+07;"NM_015339;NM_181442";"TSS1500;TSS1500";S_Shore;0,0454552;;;
cg10140391;IQSEC1;6,71548;0,1577445;3;1,29E+07;"NM_001134382;NM_014869";"3'UTR;Body";Island;0,0498276;;;
cg10141019;CEND1;4,67181;0,1637085;11;790169;NM_016564;TSS200;N_Shore;0,0427913;;;
cg10141261;CHST15;5,22346;0,1317025;10;1,26E+08;NM_015892;1stExon;S_Shore;0,0488611;;;
cg10141457;CCDC87;2,41796;0,0186618;11;6,64E+07;"NM_018219;NM_018219;NM_005125";"1stExon;5'UTR;TSS200";Island;0,0403275;;;
cg10141801;GUCY2E;1,7071;0,028299;11;7,64E+07;NR_024042;TSS200;;0,0409019;;;
cg10143426;TP73;3,27044;0,118143;1;3,57E+06;"NM_005427;NM_017818";"TSS1500;TSS1500";Island;0,0403854;;;
cg10144473;;1,67873;0,0330945;1;4,35E+07;;;S_Shore;0,0495086;;;
cg10144598;ATP2B4;3,9854;0,128541;1;2,04E+08;"NM_001001396;NM_001684";"5'UTR;5'UTR";;0,045725;;;
cg10145584;IL10RA;5,19973;0,1199915;11;1,18E+08;"NR_026691;NM_001558";"Body;Body";S_Shelf;0,0399885;;;
cg10145640;;1,64828;0,031277;7;9,67E+07;;;S_Shelf;0,0455763;;;
cg10146216;FAM47E;-2,74963;-0,0498785;4;7,72E+07;NM_001136570;Body;S_Shelf;0,0450915;;;
